name,2011営業収入,2011入場料,2011スポンサー料,2011人件費,2012home,2012away,2012営業収入,2012入場料,2012スポンサー料,2012人件費,2013home,2013away,2013営業収入,2013入場料,2013スポンサー料,2013人件費,2014home,2014away
ＦＣ岐阜,448,153,59,192,4270,5572,528,193,73,212,4525,5697,576,266,74,241,7944,7569
ＦＣ町田ゼルビア,242,117,30,90,3627,5567,493,202,69,152,#N/A,#N/A,363,204,32,115,#N/A,#N/A
ＦＣ東京,3334,1336,551,1427,23955,16885,3865,1385,817,1574,25073,15829,3545,1422,788,1637,24381,18260
Ｖ・ファーレン長崎,718,248,132,229,#N/A,#N/A,718,248,132,229,6167,6094,718,248,132,229,4187,7009
アビスパ福岡,1246,441,308,428,5586,5841,854,301,170,411,5727,6267,871,324,180,390,5248,6758
アルビレックス新潟,2227,919,701,809,25018,14524,2405,941,661,940,26112,17149,2548,963,674,1077,23412,14597
ヴァンフォーレ甲府,1465,635,421,671,10407,6726,1179,554,291,476,12614,14917,1481,683,403,707,13426,13582
ヴィッセル神戸,2059,708,392,1010,14638,15002,2250,742,454,1157,11516,7703,1960,682,339,1160,15847,13630
ガイナーレ鳥取,610,193,97,220,3133,5448,576,186,87,212,4097,6829,646,268,99,207,#N/A,#N/A
カターレ富山,574,327,49,246,3324,5302,599,354,58,264,4474,5205,701,393,84,273,4546,5366
カマタマーレ讃岐,220,90,25,84,#N/A,#N/A,220,90,25,84,#N/A,#N/A,220,90,25,84,3362,6534
ガンバ大阪,3817,1739,597,2010,14778,20073,3285,1840,529,1707,12286,13821,2786,1696,465,1486,13683,23460
ギラヴァンツ北九州,521,176,78,222,3346,5229,682,252,98,259,3175,5924,686,272,88,249,3287,6071
コンサドーレ札幌,1297,399,310,513,12008,15896,1347,475,397,495,10075,6143,1071,432,330,359,10538,6404
サガン鳥栖,689,253,166,353,11991,15498,1454,493,495,610,12026,14916,1704,632,548,1012,14264,18857
ザスパクサツ群馬,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3571,5459,469,217,84,163,3315,6298
ザスパ草津,562,213,78,204,3341,5450,496,226,80,184,#N/A,#N/A,469,217,84,163,#N/A,#N/A
サンフレッチェ広島,2676,1439,458,1324,17721,18364,3176,1406,551,1412,16209,18603,3198,1373,541,1449,14716,19387
ジェフユナイテッド千葉,2422,1622,368,1003,9281,5975,2408,1617,341,1038,10004,6818,2330,1515,353,994,9103,5331
ジュビロ磐田,3151,1695,424,1299,13122,16600,3391,1674,403,1437,10895,15827,3298,1645,446,1369,8825,9530
セレッソ大阪,2527,1361,449,1185,16913,16592,2618,1120,495,969,18819,18995,3213,1499,954,1212,23299,28693
ファジアーノ岡山,797,362,127,363,7985,4730,878,415,141,389,8574,6223,1034,439,161,411,8270,6473
ベガルタ仙台,2097,682,689,1007,16600,18390,2303,770,764,1079,14866,15597,2429,901,757,1169,13742,14696
モンテディオ山形,1239,258,282,706,7355,6117,1047,253,223,459,7020,6004,1041,258,202,468,6096,5746
ロアッソ熊本,631,244,84,257,5855,5611,678,252,95,254,6227,6020,680,278,118,261,6948,5873
愛媛ＦＣ,499,175,53,206,3629,5656,504,198,51,253,3950,5954,522,217,56,255,4034,6059
浦和レッズ,5382,1821,1918,1886,36634,23646,5353,2121,1988,1910,37100,24792,5786,2319,2132,2016,34552,18491
横浜Ｆ・マリノス,3463,1197,795,1441,22946,17540,3717,1364,783,1601,27496,16650,4315,1513,1069,1701,21982,19620
横浜ＦＣ,1046,643,147,478,6039,7541,1054,576,208,490,6064,8001,1152,579,177,482,4911,7671
京都サンガF.C.,2140,1395,199,895,7273,5950,2039,1354,250,591,7891,7087,1930,1235,260,692,7576,6141
鹿島アントラーズ,4165,1839,754,2066,15381,19829,4160,1935,720,1888,16419,20775,4122,1864,748,1701,15453,20241
松本山雅ＦＣ,391,194,74,128,9531,6803,893,368,188,284,11041,6655,939,386,199,368,12047,7750
湘南ベルマーレ,670,227,168,511,6852,6042,869,330,203,366,9911,16341,1191,387,263,530,7926,6361
水戸ホーリーホック,436,135,60,152,3973,5139,483,169,82,205,4630,5805,508,189,90,230,4625,5177
清水エスパルス,3118,1228,522,1376,15121,18351,3449,1223,623,1281,14137,14787,3084,1219,523,1251,13913,14745
川崎フロンターレ,3275,1738,554,1587,17807,18117,3073,1373,558,1428,16644,17706,3214,1702,540,1557,16235,18819
大宮アルディージャ,2775,1924,325,1314,10637,14255,3344,2172,329,1787,11138,17528,3228,2296,341,1606,10381,14895
大分トリニータ,960,392,325,293,9721,5518,986,452,285,298,11915,14442,1406,680,370,556,7473,7026
東京ヴェルディ,1075,522,182,300,5341,6094,1470,548,170,369,6343,6336,1236,534,204,357,5677,6188
徳島ヴォルティス,967,603,90,490,3991,5993,1050,709,84,489,4348,6548,1211,821,105,601,8622,12909
栃木ＳＣ,748,306,113,332,3850,5408,791,418,131,338,4922,6033,876,474,145,410,5147,5195
柏レイソル,3543,1878,496,1919,13768,18227,3551,1989,576,2047,12553,17454,3412,1947,646,2118,11847,11970
名古屋グランパス,4196,2136,814,2167,17155,18405,3993,2145,799,2009,16135,17753,4226,2457,736,2348,19425,14791
