stadium,team1,team2,latitude,longitude
ＩＡＩスタジアム日本平,清水エスパルス,,34.985168,138.481305
ＮＡＣＫ５スタジアム大宮,大宮アルディージャ,,35.918913,139.63182
ＮＤソフトスタジアム山形,モンテディオ山形,,38.336176,140.375596
Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,湘南ベルマーレ,,35.34151,139.338599
うまかな・よかなスタジアム,ロアッソ熊本,,32.837385999999995,130.79946
エコパスタジアム,清水エスパルス,,34.74345,137.970764
エディオンスタジアム広島,サンフレッチェ広島,,34.441077,132.394145
キンチョウスタジアム,セレッソ大阪,,34.61528,135.51650800000002
ケーズデンキスタジアム水戸,水戸ホーリーホック,,36.345446,140.411495
シティライトスタジアム,ファジアーノ岡山,,34.677448999999996,133.919372
デンカビッグスワンスタジアム,アルビレックス新潟,,37.882408,139.059359
とりぎんバードスタジアム,ガイナーレ鳥取,,35.458273,134.22116599999998
ニッパツ三ツ沢球技場,横浜Ｆ・マリノス,横浜ＦＣ,35.469419,139.603319
ニンジニアスタジアム,愛媛ＦＣ,,33.768536,132.794947
ノエビアスタジアム神戸,ヴィッセル神戸,,34.656726,135.168171
フクダ電子アリーナ,ジェフユナイテッド千葉,,35.576811,140.122907
ベストアメニティスタジアム,サガン鳥栖,,33.371990000000004,130.51979
ヤマハスタジアム（磐田）,ジュビロ磐田,,34.724354,137.881334
ヤンマースタジアム長居,セレッソ大阪,,34.613949,135.51842
ユアテックスタジアム仙台,ベガルタ仙台,,38.319158,140.881857
レベルファイブスタジアム,アビスパ福岡,,33.586139,130.46008899999998
岡山県津山陸上競技場,その他,,35.082347999999996,134.018213
岐阜メモリアルセンター長良川球技メドウ,ＦＣ岐阜,,35.441359000000006,136.766089
岐阜メモリアルセンター長良川競技場,ＦＣ岐阜,,35.442912,136.763069
宮城スタジアム,その他,,38.33543,140.950567
京都市西京極総合運動公園陸上競技場兼球技場,京都サンガF.C.,,34.993338,135.715575
駒沢オリンピック公園総合運動場陸上競技場,東京ヴェルディ,,35.625572,139.66365
熊谷スポーツ文化公園陸上競技場,その他,,36.163845,139.410965
熊本市水前寺競技場,ロアッソ熊本,,32.794354999999996,130.741444
県立カシマサッカースタジアム,鹿島アントラーズ,,35.991979,140.64043
香川県立丸亀競技場,カマタマーレ讃岐,,34.261684,133.786361
国立競技場,その他,,35.680166,139.71377900000002
佐賀県総合運動場陸上競技場,その他,,33.276336,130.290376
埼玉スタジアム２００２,浦和レッズ,,35.902,139.714677
札幌ドーム,コンサドーレ札幌,,43.009599,141.419562
札幌厚別公園競技場,その他,,43.019412,141.463899
山梨中銀スタジアム,ヴァンフォーレ甲府,,35.624201,138.584328
鹿児島県立鴨池陸上競技場,その他,,31.56483,130.560144
松本平広域公園総合球技場,松本山雅ＦＣ,,36.179582,137.91648500000002
神戸総合運動公園ユニバー記念競技場,ヴィッセル神戸,,34.682381,135.080343
正田醤油スタジアム群馬,ザスパクサツ群馬,ザスパ草津,36.412729999999996,139.05222
大垣市浅中公園総合グラウンド陸上競技場,その他,,35.315351,136.605413
大分銀行ドーム,大分トリニータ,,33.200758,131.656472
町田市立陸上競技場,ＦＣ町田ゼルビア,,35.591394,139.445805
長崎県立総合運動公園陸上競技場,Ｖ・ファーレン長崎,,32.838691,130.038555
長崎市総合運動公園かきどまり陸上競技場,その他,,32.772289,129.816261
等々力陸上競技場,川崎フロンターレ,,35.590090000000004,139.64733600000002
栃木県グリーンスタジアム,栃木ＳＣ,,36.556649,139.98601000000002
日産スタジアム,横浜Ｆ・マリノス,,35.510047,139.60633700000002
日立柏サッカー場,柏レイソル,,35.848791999999996,139.97567
富山県総合運動公園陸上競技場,カターレ富山,,36.624047999999995,137.197171
福島県営あづま陸上競技場,その他,,37.72352,140.360895
豊田スタジアム,名古屋グランパス,,35.084561,137.17092
北九州市立本城陸上競技場,ギラヴァンツ北九州,,33.890298,130.730906
万博記念競技場,ガンバ大阪,,34.81025,135.541854
味の素スタジアム,ＦＣ東京,東京ヴェルディ,35.664173999999996,139.525368
味の素フィールド西が丘,東京ヴェルディ,,35.769244,139.70800400000002
名古屋市瑞穂陸上競技場,名古屋グランパス,,35.122624,136.943474
鳴門・大塚スポーツパーク　ポカリスエットスタジアム,徳島ヴォルティス,,34.167912,134.615254
