team,latitude,longitude
ＦＣ岐阜,35.442912,136.763069
ＦＣ町田ゼルビア,35.591394,139.445805
ＦＣ東京,35.664174,139.525368
Ｖ・ファーレン長崎,32.838691,130.038555
アビスパ福岡,33.586139,130.460089
アルビレックス新潟,37.882408,139.059359
ヴァンフォーレ甲府,35.624201,138.584328
ヴィッセル神戸,34.656726,135.168171
ガイナーレ鳥取,35.458273,134.221166
カターレ富山,36.624048,137.197171
カマタマーレ讃岐,34.261684,133.786361
ガンバ大阪,34.81025,135.541854
ギラヴァンツ北九州,33.890298,130.730906
コンサドーレ札幌,43.009599,141.419562
サガン鳥栖,33.37199,130.51979
ザスパクサツ群馬,36.41273,139.05222
ザスパ草津,36.41273,139.05222
サンフレッチェ広島,34.441077,132.394145
ジェフユナイテッド千葉,35.576811,140.122907
ジュビロ磐田,34.724354,137.881334
セレッソ大阪,34.613949,135.51842
ファジアーノ岡山,34.677449,133.919372
ベガルタ仙台,38.319158,140.881857
モンテディオ山形,38.336176,140.375596
ロアッソ熊本,32.837386,130.79946
愛媛ＦＣ,33.768536,132.794947
浦和レッズ,35.902,139.714677
横浜Ｆ・マリノス,35.510047,139.606337
横浜ＦＣ,35.469419,139.603319
京都サンガF.C.,34.993338,135.715575
鹿島アントラーズ,35.991979,140.64043
松本山雅ＦＣ,36.179582,137.916485
湘南ベルマーレ,35.34151,139.338599
水戸ホーリーホック,36.345446,140.411495
清水エスパルス,34.985168,138.481305
川崎フロンターレ,35.59009,139.647336
大宮アルディージャ,35.918913,139.63182
大分トリニータ,33.200758,131.656472
東京ヴェルディ,35.664174,139.525368
徳島ヴォルティス,34.167912,134.615254
栃木ＳＣ,36.556649,139.98601
柏レイソル,35.848792,139.97567
名古屋グランパス,35.122624,136.943474
